GROUP,TOPIC,PARTITION,CURRENT-OFFSET,LOG-END-OFFSET,LAG
demo-consumer-group,topic-1000,766,43,45,2
demo-consumer-group,topic-1000,707,30,33,3
demo-consumer-group,topic-1000,1,38,40,2
demo-consumer-group,topic-1000,548,38,41,3
demo-consumer-group,topic-1000,472,31,31,0
demo-consumer-group,topic-1000,654,44,46,2
demo-consumer-group,topic-1000,192,42,42,0
demo-consumer-group,topic-1000,456,36,38,2
demo-consumer-group,topic-1000,782,32,32,0
demo-consumer-group,topic-1000,712,33,33,0
demo-consumer-group,topic-1000,113,38,38,0
demo-consumer-group,topic-1000,227,41,43,2
demo-consumer-group,topic-1000,523,29,29,0
demo-consumer-group,topic-1000,203,25,25,0
demo-consumer-group,topic-1000,295,29,30,1
demo-consumer-group,topic-10,4,5274,5626,352
demo-consumer-group,topic-1000,663,36,38,2
demo-consumer-group,topic-1000,840,30,33,3
demo-consumer-group,topic-1000,961,33,36,3
demo-consumer-group,topic-1000,779,32,33,1
demo-consumer-group,topic-1000,833,32,33,1
demo-consumer-group,topic-1000,771,47,49,2
demo-consumer-group,topic-1000,806,39,40,1
demo-consumer-group,topic-1000,564,22,24,2
demo-consumer-group,topic-1000,15,37,40,3
demo-consumer-group,topic-1000,143,36,36,0
demo-consumer-group,topic-1000,147,38,38,0
demo-consumer-group,topic-1000,576,40,41,1
demo-consumer-group,topic-1000,805,35,35,0
demo-consumer-group,topic-1000,31,32,32,0
demo-consumer-group,topic-1000,163,36,39,3
demo-consumer-group,topic-1000,910,27,27,0
demo-consumer-group,topic-1000,557,28,28,0
demo-consumer-group,topic-1000,876,41,42,1
demo-consumer-group,topic-1000,888,43,46,3
demo-consumer-group,topic-1000,243,37,38,1
demo-consumer-group,topic-1000,918,41,44,3
demo-consumer-group,topic-1000,830,37,37,0
demo-consumer-group,topic-1000,818,46,48,2
demo-consumer-group,topic-1000,117,28,30,2
demo-consumer-group,topic-1000,636,24,24,0
demo-consumer-group,topic-1000,790,44,44,0
demo-consumer-group,topic-1000,666,38,40,2
